"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 18 22:26:04 UZT 2021","Thu Mar 18 22:26:07 UZT 2021","3106","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Thu Mar 18 22:27:20 UZT 2021","Thu Mar 18 22:27:22 UZT 2021","1440","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Thu Mar 18 22:26:36 UZT 2021","Thu Mar 18 22:26:39 UZT 2021","2849","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"skipped","Thu Mar 18 22:26:30 UZT 2021","Thu Mar 18 22:26:33 UZT 2021","3023","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Thu Mar 18 22:27:31 UZT 2021","Thu Mar 18 22:27:43 UZT 2021","12548","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Thu Mar 18 22:25:30 UZT 2021","Thu Mar 18 22:25:42 UZT 2021","12676","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Thu Mar 18 22:26:43 UZT 2021","Thu Mar 18 22:26:48 UZT 2021","4939","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"skipped","Thu Mar 18 22:26:52 UZT 2021","Thu Mar 18 22:26:54 UZT 2021","2513","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Thu Mar 18 22:25:52 UZT 2021","Thu Mar 18 22:25:54 UZT 2021","2729","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Thu Mar 18 22:26:10 UZT 2021","Thu Mar 18 22:26:13 UZT 2021","3074","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Thu Mar 18 22:27:25 UZT 2021","Thu Mar 18 22:27:28 UZT 2021","3142","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Thu Mar 18 22:25:45 UZT 2021","Thu Mar 18 22:25:49 UZT 2021","3131","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Thu Mar 18 22:25:25 UZT 2021","Thu Mar 18 22:25:26 UZT 2021","1739","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"passed","Thu Mar 18 22:27:54 UZT 2021","Thu Mar 18 22:28:06 UZT 2021","11449","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Thu Mar 18 22:25:57 UZT 2021","Thu Mar 18 22:26:00 UZT 2021","2993","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Thu Mar 18 22:26:22 UZT 2021","Thu Mar 18 22:26:27 UZT 2021","4329","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Thu Mar 18 22:28:17 UZT 2021","Thu Mar 18 22:28:20 UZT 2021","3441","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Thu Mar 18 22:26:16 UZT 2021","Thu Mar 18 22:26:19 UZT 2021","3256","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Thu Mar 18 22:25:18 UZT 2021","Thu Mar 18 22:25:22 UZT 2021","3374","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"skipped","Thu Mar 18 22:27:12 UZT 2021","Thu Mar 18 22:27:17 UZT 2021","4597","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Thu Mar 18 22:26:57 UZT 2021","Thu Mar 18 22:27:09 UZT 2021","12190","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
